央视频道,#genre#
CCTV-1 (1080p),https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2 (1080p),https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-3综艺 (1080p),http://183.196.25.171:808/hls/75/index.m3u8
CCTV-5 (1080p),https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV-5+ (1080p),https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV-6电影 (1080p),https://live.goodiptv.club/api/cqyx.php?id=cctv6HD
CCTV-7 (1080p),https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV-8 (1080p),https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV-9 (1080p),https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV-10 (1080p),https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV-11戏曲 (1080p),https://live.goodiptv.club/api/cqyx.php?id=cctv11HD
CCTV-12社会与法制 (1080p),https://live.goodiptv.club/api/cqyx.php?id=cctv12HD

卫视频道,#genre#
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
安徽卫视,https://live.metshop.top/hbgd.php?id=ahwshd_3000
北京卫视,https://live.metshop.top/hbgd.php?id=bjwshd_3000
东方卫视,https://live.metshop.top/hbgd.php?id=dfwshd_3000
浙江卫视,https://live.metshop.top/hbgd.php?id=zjwshd_3000
江苏卫视,https://live.metshop.top/hbgd.php?id=jswshd_3000
湖南卫视,https://live.metshop.top/hbgd.php?id=hnwshd_3000
深圳卫视,https://live.metshop.top/hbgd.php?id=szwshd_3000
天津卫视,https://live.metshop.top/hbgd.php?id=tjwshd_3000
广东卫视,https://live.metshop.top/hbgd.php?id=gdwshd_3000
黑龙江卫视,https://live.metshop.top/hbgd.php?id=hljwshd_3000
辽宁卫视,https://live.metshop.top/hbgd.php?id=lnwshd_3000
四川卫视,https://live.metshop.top/hbgd.php?id=scwshd_3000
重庆卫视,https://live.metshop.top/hbgd.php?id=cqwshd_3000
贵州卫视,https://live.metshop.top/hbgd.php?id=gzwshd_3000
江西卫视,https://live.metshop.top/hbgd.php?id=jxwshd_3000
东南卫视,https://live.metshop.top/hbgd.php?id=dnwshd_3000
湖北卫视,https://live.metshop.top/hbgd.php?id=hbwshd_3000
河南卫视,https://live.metshop.top/hbgd.php?id=henwshd_3000
山东卫视,https://live.metshop.top/hbgd.php?id=sdwdhd_3000
海南卫视,https://live.metshop.top/hbgd.php?id=hainwshd_3000
广西卫视,https://live.metshop.top/hbgd.php?id=gxwshd_3000
吉林卫视,https://live.metshop.top/hbgd.php?id=jlwshd_3000
陕西卫视,https://live.metshop.top/hbgd.php?id=shxws_1000
内蒙古卫视,https://live.metshop.top/hbgd.php?id=nmws_1000
西藏卫视,https://live.metshop.top/hbgd.php?id=xzws_1000
河北卫视,https://live.metshop.top/hbgd.php?id=hebws_1000
青海卫视,https://live.metshop.top/hbgd.php?id=qhws_1000
宁夏卫视,https://live.metshop.top/hbgd.php?id=nxws_1000
云南卫视,https://live.metshop.top/hbgd.php?id=ynws_1000
山西卫视,https://live.metshop.top/hbgd.php?id=sxws_1000
甘肃卫视,https://live.metshop.top/hbgd.php?id=gsws_1000
新疆卫视,https://live.metshop.top/hbgd.php?id=xjws_1000
兵团卫视,https://live.metshop.top/hbgd.php?id=btws_1000
金鹰卡通,https://live.metshop.top/hbgd.php?id=jjkt_1000
纪实人文,https://live.metshop.top/hbgd.php?id=shjs_1000
中国教育-1,https://live.metshop.top/hbgd.php?id=zgjy1hd_3000
中国教育-4,https://live.metshop.top/hbgd.php?id=zgjy4_1000
卡酷少儿,https://live.metshop.top/hbgd.php?id=kkse_1000
金鹰纪实,https://live.metshop.top/hbgd.php?id=jyjs_1000
家庭理财,https://live.metshop.top/hbgd.php?id=jtlc_1000
嘉佳卡通,https://live.metshop.top/hbgd.php?id=jiajkt_1000
北京纪实科教,https://live.metshop.top/hbgd.php?id=dajs_1000
山东教育卫视,https://live.metshop.top/hbgd.php?id=sdjyws_1000
中国气象,https://live.metshop.top/hbgd.php?id=zgqx_1000
湖北综合,https://live.metshop.top/hbgd.php?id=hbzhhd_3000
湖北经视,https://live.metshop.top/hbgd.php?id=hbjsjd_3000
